task,seed,split,group_id,n_points
I_dark,42,train,3765765162242439701,15
I_dark,42,train,10539271283961051071,15
I_dark,42,train,3371631208540637995,15
I_dark,42,train,579736006479800074,15
I_dark,42,train,14456930291123660273,15
I_dark,42,train,14547390297170085011,15
I_dark,42,train,1367897570274288222,15
I_dark,42,train,4253972365711734043,15
I_dark,42,train,11643629726484600332,15
I_dark,42,train,380264510751012186,15
I_dark,42,train,833253205382390921,15
I_dark,42,train,3494250555080783753,15
I_dark,42,train,14100953261967155807,15
I_dark,42,train,13753303497944442308,15
I_dark,42,train,9985116505034206452,15
I_dark,42,train,1906069974405082520,15
I_dark,42,train,6305389621858259219,15
I_dark,42,train,14988660033747214345,15
I_dark,42,train,15255519671477510073,15
I_dark,42,train,16164245777420927440,15
I_dark,42,train,13370015301709921327,15
I_dark,42,train,16501516911797089168,15
I_dark,42,train,5144607327742428380,15
I_dark,42,train,7155552337602576564,15
I_dark,42,train,8793357247245534573,15
I_dark,42,train,15038946426069692038,15
I_dark,42,train,12823118457006761398,15
I_dark,42,train,13867644369009061341,15
I_dark,42,train,1378160361063041439,15
I_dark,42,train,7157631882990673600,15
I_dark,42,train,17234994038809733169,15
I_dark,42,train,2033506848451370756,15
I_dark,42,train,7311808897764695838,15
I_dark,42,train,5127878088967066821,15
I_dark,42,train,4106527973129540887,15
I_dark,42,train,6563696386679920944,15
I_dark,42,train,14219469232104377133,15
I_dark,42,train,3483175946691254694,15
I_dark,42,train,11892504857466714026,15
I_dark,42,train,10743645008157788724,15
I_dark,42,train,11533471517763731933,15
I_dark,42,train,18026431441542812131,15
I_dark,42,train,7126979072579706712,15
I_dark,42,train,9184494546452176042,15
I_dark,42,train,12882774050561771087,15
I_dark,42,train,7296031158140813817,15
I_dark,42,train,779010489516208886,15
I_dark,42,train,16519722322841066187,15
I_dark,42,train,15230833052760599040,15
I_dark,42,train,18393380424088899902,15
I_dark,42,train,10829525609740651031,15
I_dark,42,train,12886194249589357920,15
I_dark,42,train,18237334030368139870,15
I_dark,42,train,433422742429117681,15
I_dark,42,train,2056914843148536795,15
I_dark,42,train,10954724855113224492,15
I_dark,42,train,2124884718484563516,15
I_dark,42,train,2447368541047246097,15
I_dark,42,train,903425415547655004,15
I_dark,42,train,8813459275462154891,15
I_dark,42,train,9216328605101287225,15
I_dark,42,train,13149960228396626776,15
I_dark,42,train,8372103036707258832,15
I_dark,42,train,17492872546512810480,15
I_dark,42,train,3193110456536102066,15
I_dark,42,train,3134241803077969267,15
I_dark,42,train,6508029577517650568,15
I_dark,42,train,4261926717090881150,15
I_dark,42,train,7681735671422946543,15
I_dark,42,train,13944279034983237670,15
I_dark,42,train,9415233787243991652,15
I_dark,42,train,3392607520233113049,15
I_dark,42,train,15854623793106210877,15
I_dark,42,train,5637171177688138856,15
I_dark,42,train,13052852389533457310,15
I_dark,42,train,13344013943894260190,15
I_dark,42,train,7538273554073210114,15
I_dark,42,train,128968913270984251,15
I_dark,42,train,16069905982438259650,15
I_dark,42,train,4155552024635161694,15
I_dark,42,train,17951410366048416543,15
I_dark,42,train,2671493380122846465,15
I_dark,42,train,10893922623691634355,15
I_dark,42,train,9029148243980292461,15
I_dark,42,train,2314355766595058403,15
I_dark,42,train,9728360064296503812,15
I_dark,42,train,3744802582600429992,15
I_dark,42,train,5302328922938549098,15
I_dark,42,train,3141391476646313355,15
I_dark,42,train,15425818973916266975,15
I_dark,42,train,7069279127234648490,15
I_dark,42,train,2832837163574657009,15
I_dark,42,train,14934561482547682078,15
I_dark,42,train,17533524623644286140,15
I_dark,42,train,2804036452383970560,15
I_dark,42,train,3684234868495982631,15
I_dark,42,train,2217437892012799629,15
I_dark,42,train,10813817281839957845,15
I_dark,42,train,6325844468188908084,15
I_dark,42,train,14435728251762431223,15
I_dark,42,train,13640118791446356878,15
I_dark,42,train,17938021924088880075,15
I_dark,42,train,603198139025932464,15
I_dark,42,train,222992878073105781,15
I_dark,42,validation,12816177013697617925,15
I_dark,42,validation,7464429288297915064,15
I_dark,42,validation,17451691503515762550,15
I_dark,42,validation,6517130074721695667,15
I_dark,42,validation,12935788499417564366,15
I_dark,42,validation,7884238669149658161,15
I_dark,42,validation,8562678507013604755,15
I_dark,42,validation,11587428247216890986,15
I_dark,42,validation,12849312948239067464,15
I_dark,42,validation,8778145279652222064,15
I_dark,42,validation,4757004652079025251,15
I_dark,42,validation,5355939635520617484,15
I_dark,42,validation,3262830124868165494,15
I_dark,42,validation,4747465828158748725,15
I_dark,42,validation,18058330792975761325,15
I_dark,42,validation,6898913632721408619,15
I_dark,42,calibration,3703347433873037581,15
I_dark,42,calibration,4552925917595615164,15
