nominal_structure_id,nominal_core_width_nm,nominal_coupling_gap_nm,nominal_ring_radius_um,nominal_core_thickness_nm,nominal_slab_thickness_nm,nominal_device_layer_thickness_nm,dataset_role,frozen_confirmation,sampling_method,sampling_seed,split,wafer_id,process_variant_id,process_variant_index,process_variant_role,process_seed,delta_core_width_nm,delta_coupling_gap_nm,delta_core_thickness_nm,delta_material_index,delta_ring_radius_nm,actual_core_width_nm,actual_coupling_gap_nm,actual_ring_radius_um,actual_core_thickness_nm,actual_slab_thickness_nm,actual_device_layer_thickness_nm
ring_cv_dev_20260912_0000,453.4861391778015,393.65923764169855,9.866658964410012,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01,ring_cv_dev_20260912_0000|p00,0,nominal,20260913,0.0,0.0,0.0,0.0,0.0,453.4861391778015,393.65923764169855,9.866658964410012,120.0,100.0,220.0
ring_cv_dev_20260912_0000,453.4861391778015,393.65923764169855,9.866658964410012,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,20260913,-7.551833265244787,-0.6794948159546332,0.7947828424582619,-0.0003119000091407,-2.608514135040375,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,100.0,220.79478284245823
ring_cv_dev_20260912_0000,453.4861391778015,393.65923764169855,9.866658964410012,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,20260913,-10.083637599134478,-0.3189547260545011,0.7962687186770685,-0.0002830666988855,-2.295602094461944,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,100.0,220.79626871867703
ring_cv_dev_20260912_0001,430.71790076585273,385.1806018582748,9.824529226471697,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_02,ring_cv_dev_20260912_0001|p00,0,nominal,20260913,0.0,0.0,0.0,0.0,0.0,430.71790076585273,385.1806018582748,9.824529226471697,120.0,100.0,220.0
ring_cv_dev_20260912_0001,430.71790076585273,385.1806018582748,9.824529226471697,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_02,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,20260913,-2.1910190483152645,-4.289121350729555,-0.1672752546200391,-8.436816882990744e-05,-0.2112352484452302,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,100.0,219.83272474537995
ring_cv_dev_20260912_0001,430.71790076585273,385.1806018582748,9.824529226471697,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_02,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,20260913,0.2793328589698509,-5.769955711507427,1.2388365661678122,-9.142977956204555e-05,2.194683144328802,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,100.0,221.2388365661678
ring_cv_dev_20260912_0002,449.83834158224937,447.4480247184309,10.149755286136992,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_00,ring_cv_dev_20260912_0002|p00,0,nominal,20260913,0.0,0.0,0.0,0.0,0.0,449.83834158224937,447.4480247184309,10.149755286136992,120.0,100.0,220.0
ring_cv_dev_20260912_0002,449.83834158224937,447.4480247184309,10.149755286136992,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_00,ring_cv_dev_20260912_0002|p01,1,fabrication_realization,20260913,0.929700202781776,-2.3538543046429155,0.4872529898756396,-0.0001050727494791,-0.1829468092398538,450.76804178503113,445.094170413788,10.149572339327753,120.48725298987564,100.0,220.48725298987563
ring_cv_dev_20260912_0002,449.83834158224937,447.4480247184309,10.149755286136992,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_00,ring_cv_dev_20260912_0002|p02,2,fabrication_realization,20260913,3.222584490740136,4.639233635926851,-0.7506059503664253,-0.0001269638101993,0.8796932298358894,453.0609260729895,452.0872583543578,10.150634979366828,119.24939404963358,100.0,219.2493940496336
ring_cv_dev_20260912_0003,441.74856625734526,350.04313163288384,9.9716120884467,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07,ring_cv_dev_20260912_0003|p00,0,nominal,20260913,0.0,0.0,0.0,0.0,0.0,441.74856625734526,350.04313163288384,9.9716120884467,120.0,100.0,220.0
ring_cv_dev_20260912_0003,441.74856625734526,350.04313163288384,9.9716120884467,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07,ring_cv_dev_20260912_0003|p01,1,fabrication_realization,20260913,3.401959833174573,-3.3699410261975644,-0.1208597945379757,-4.7816430066077725e-05,-0.0684718532308747,445.1505260905199,346.67319060668626,9.971543616593468,119.87914020546202,100.0,219.879140205462
ring_cv_dev_20260912_0003,441.74856625734526,350.04313163288384,9.9716120884467,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07,ring_cv_dev_20260912_0003|p02,2,fabrication_realization,20260913,2.051822402192563,-4.647619340286327,1.0854398072129134,1.3121978496840716e-05,2.952207360636965,443.8003886595378,345.3955122925975,9.974564295807337,121.08543980721292,100.0,221.0854398072129
