split,row_id,group_id
train,0,3765765162242439701
train,1,12816177013697617925
train,2,10539271283961051071
train,4,3703347433873037581
train,5,579736006479800074
train,6,4552925917595615164
train,8,14547390297170085011
train,12,7464429288297915064
train,17,579736006479800074
train,22,6517130074721695667
train,23,9985116505034206452
train,26,1906069974405082520
train,27,6305389621858259219
train,30,3933886296999063760
train,31,222992878073105781
train,32,4556256472297801959
train,33,16164245777420927440
train,34,13370015301709921327
train,35,16501516911797089168
train,36,5144607327742428380
train,45,3933886296999063760
train,48,13867644369009061341
train,49,579736006479800074
train,50,16164245777420927440
train,51,5144607327742428380
train,52,1378160361063041439
train,55,6517130074721695667
train,58,7311808897764695838
train,59,5127878088967066821
train,60,9151669764478585745
train,62,12112510911978131146
train,65,6563696386679920944
train,66,6563696386679920944
train,67,14219469232104377133
train,69,10395993465976512970
train,70,13806398585976261423
train,72,7311808897764695838
train,73,16164245777420927440
train,78,9184494546452176042
train,81,7464429288297915064
train,83,17608710593314742079
train,84,13867644369009061341
train,85,8562678507013604755
train,86,10539271283961051071
train,90,13806398585976261423
train,91,3765765162242439701
train,94,3703347433873037581
train,95,7126979072579706712
train,97,13867644369009061341
train,98,9184494546452176042
train,99,14219469232104377133
train,100,11587428247216890986
train,105,6563696386679920944
train,106,2860266914913243763
train,108,579736006479800074
train,109,14082706842164037214
train,111,15180030701036252205
train,112,11587428247216890986
train,113,5144607327742428380
train,116,11587428247216890986
train,117,15230833052760599040
train,125,18237334030368139870
train,126,433422742429117681
train,130,3703347433873037581
train,131,59563343903943478
train,132,2056914843148536795
train,134,603198139025932464
train,135,2124884718484563516
train,137,2860266914913243763
train,139,15230833052760599040
train,141,903425415547655004
train,142,8562678507013604755
train,143,14547390297170085011
train,145,8813459275462154891
train,146,6305389621858259219
train,148,18237334030368139870
train,150,7126979072579706712
train,151,8372103036707258832
train,155,6305389621858259219
train,156,17492872546512810480
train,157,3193110456536102066
train,159,7311808897764695838
train,160,4552925917595615164
train,161,903425415547655004
train,167,6508029577517650568
train,168,14219469232104377133
train,170,1633077101789385956
train,174,7681735671422946543
train,175,13944279034983237670
train,176,8778145279652222064
train,179,16164245777420927440
train,180,9184494546452176042
train,181,13944279034983237670
train,182,9415233787243991652
train,183,11587428247216890986
train,185,7126979072579706712
train,186,12981595077382156139
train,188,12112510911978131146
train,190,3392607520233113049
train,191,15854623793106210877
train,192,5637171177688138856
train,194,13052852389533457310
train,196,903425415547655004
train,198,15180030701036252205
train,199,903425415547655004
train,200,6517130074721695667
train,203,433422742429117681
train,206,10990274489596691850
train,207,7538273554073210114
train,210,10990274489596691850
train,212,6305389621858259219
train,214,4155552024635161694
train,220,17608710593314742079
train,222,3933886296999063760
train,223,10893922623691634355
train,224,7167329586276071870
train,225,9029148243980292461
train,227,15854623793106210877
train,228,16501516911797089168
train,230,9029148243980292461
train,232,13867644369009061341
train,233,3392607520233113049
train,234,2314355766595058403
train,235,5127878088967066821
train,238,14547390297170085011
train,239,3193110456536102066
train,241,16164245777420927440
train,246,13944279034983237670
train,247,9728360064296503812
train,248,13640118791446356878
train,249,17485459239320075305
train,251,6508029577517650568
train,253,9184494546452176042
train,254,5144607327742428380
train,255,13806398585976261423
train,257,433422742429117681
train,258,2124884718484563516
train,259,10539271283961051071
train,262,3765765162242439701
train,264,2056914843148536795
train,265,6305389621858259219
train,266,14219469232104377133
train,268,14547390297170085011
train,269,10539271283961051071
train,270,3703347433873037581
train,271,15363031408316951214
train,274,16501516911797089168
train,276,903425415547655004
train,278,11587428247216890986
train,279,1378160361063041439
