task,frequency_ghz,active_layer_length,simulation_temperature,ac_response_db,_curve_id
AC_Response,5.011872336272715,40.65637295368661,296.23853018587084,-2.761889544187348,16406327631433526260
AC_Response,3.981071705534969,41.62971960161597,300.52976098251094,-2.335528790927424,869685322261252957
AC_Response,1.0,37.69553984942066,294.1521471075916,-0.4183485129322892,8666257842429149026
AC_Response,31.6227766016838,39.56928699408093,298.75903253628616,-6.8335039949483,17177253068705741675
AC_Response,0.1995262314968882,39.43236728729266,296.39638250989714,-0.012829116587479,4381028864758797162
AC_Response,3.981071705534969,39.94029005251662,299.6218359156308,-2.260952843212414,1062234375139852529
AC_Response,31.6227766016838,41.62971960161597,300.52976098251094,-6.667072401774671,869685322261252957
AC_Response,19.952623149688822,40.30940301281442,306.6726054586492,-5.532560836113434,5439972880139275643
AC_Response,0.1584893192461111,39.66536493364173,302.3426017448898,-0.0070468539033358,11523722328579267051
AC_Response,0.3981071705534968,39.33731057072893,297.69705044733973,-0.0633730612302206,3402320749389468369
AC_Response,2.511886431509582,40.78433779833217,301.9145433801493,-1.48743972732146,894797089121886199
AC_Response,0.1995262314968882,35.793021097389925,308.86985058095934,-0.0138990725597246,15076552308508060508
AC_Response,6.309573444801943,40.31257836583995,298.21936914217434,-3.076421585164835,12408152172928847518
AC_Response,0.7943282347242822,37.50931802222772,308.1655826328421,-0.2860627428707353,11519709022772450725
AC_Response,6.309573444801943,41.43318212059344,299.0815860986159,-3.1809846552074337,6042616877882084778
AC_Response,12.589254117941662,38.28868089781682,299.0569098093356,-4.489880006692564,3766308496770492318
AC_Response,1.584893192461111,39.21856251436128,307.7679942040925,-0.8334061081171444,2454564730666304252
AC_Response,2.511886431509582,41.11142736058992,291.8506686301862,-1.48056433259648,12552086576878223737
AC_Response,0.6309573444801944,38.57283152042447,302.4090006102026,-0.1749766201425153,1015852638890412653
AC_Response,25.11886431509582,37.12870103512795,297.3410066095633,-6.355951281473423,5086348268569391686
AC_Response,5.011872336272715,40.31160828282909,292.8565689112594,-2.766810785285418,13220990961221007809
AC_Response,0.5011872336272715,43.167246359099664,298.50956140834,-0.1004022322615671,3765347373034185731
AC_Response,31.6227766016838,38.69622270488729,301.9657628923453,-6.738576377623552,8115719833540228731
AC_Response,1.0,41.129719458135625,288.0815978442095,-0.3823377254708264,14542734286284699756
AC_Response,7.943282347242822,37.69553984942066,294.1521471075916,-3.664270708202488,8666257842429149026
AC_Response,19.952623149688822,39.05845567786759,297.2376267822416,-5.77993313832772,6308849522308401573
