task,split,group_id,n_points,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature
I_dark,train,10395993465976512970,15,9.371440517713595e-10,2524.6000862506294,475.6202290123848,40.994373738605006,302.9961192294562
I_dark,train,10539271283961051071,15,1.0728366895058958e-09,2396.471193900285,522.5703607996403,39.66536493364173,302.3426017448898
I_dark,train,10743645008157788724,15,1.0671658198705112e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378
I_dark,train,10813817281839957845,15,1.1201765668553064e-09,2329.913862262383,487.444276821995,41.61971486534147,298.1037724082114
I_dark,train,10829525609740651031,15,8.354324428057497e-10,2430.182491588309,507.603602235917,36.73791801396338,295.61725668807514
I_dark,train,10893922623691634355,15,9.808684991835892e-10,2440.440905080504,475.02919518003887,43.13862383173334,296.64614602139693
I_dark,train,10954724855113224492,15,1.1396379394271226e-09,2408.4924726992253,490.0725825278824,43.06550150160359,292.35304316269765
I_dark,train,11032972375804727196,15,9.980121445569454e-10,2387.75545073954,508.7275610680178,38.8972081784186,297.8606493603604
I_dark,train,11714911050137312102,15,9.143704143090119e-10,2444.5179463100326,473.4138143725302,40.94136333558407,299.94201571725745
I_dark,train,11723817789070393620,15,1.058962492367367e-09,2306.068264987093,513.3151002778768,40.55455133934368,303.4784744400111
I_dark,train,11854955608364436255,15,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453
I_dark,train,11892504857466714026,15,1.1942019403763875e-09,2464.50260258804,490.2741317287723,40.32854625878799,294.3650499716886
I_dark,train,12112510911978131146,15,9.85546704036472e-10,2573.0239327697072,479.3922741661716,39.9154735600532,295.8292447353602
I_dark,train,12816177013697617925,15,1.0272364839515192e-09,2572.148319494551,521.8227614311556,39.43236728729266,296.39638250989714
I_dark,train,12823118457006761398,15,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613
I_dark,train,12849312948239067464,15,1.1459805246638944e-09,2630.825732937456,497.4739907663986,41.26661222078493,300.2753689300697
I_dark,train,12882774050561771087,15,1.1421949243104863e-09,2464.085688286918,515.1290966367517,40.96326376678826,298.8654192354596
I_dark,train,12886194249589357920,15,1.0040157435828723e-09,2421.1156291426087,502.3421578152334,38.33334239027114,293.10089722857373
I_dark,train,128968913270984251,15,1.25959298622376e-09,2354.3009197629594,499.1918367180637,40.77134716523017,305.22981462209646
I_dark,train,12981595077382156139,15,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712
I_dark,train,13161242281976296834,15,1.1425395479879979e-09,2554.3812528255967,503.27354733950745,40.19858533526689,297.9110382121584
I_dark,train,13304175874445473708,15,9.663377701466595e-10,2642.527368087266,478.3559331791431,43.40306406282464,301.888862689621
I_dark,train,13344013943894260190,15,8.220747042076196e-10,2489.354974528123,536.8974000619587,36.589080383233394,294.68809277779184
I_dark,train,1378160361063041439,15,9.979877857013674e-10,2496.537246315292,510.00187244466247,38.795972505421744,297.7961123434831
I_dark,train,13806398585976261423,15,9.308015570351787e-10,2751.659002613549,471.438867720947,38.31893407640898,299.3638589999156
I_dark,train,13867644369009061341,15,9.244750759855351e-10,2606.766252024905,514.7015322051607,39.36697999872778,300.425811364213
I_dark,train,14082706842164037214,15,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056
I_dark,train,14219469232104377133,15,9.570305915597544e-10,2609.011101819734,467.3507151496423,38.45876893881996,290.3471581734896
I_dark,train,14435728251762431223,15,8.599648780937921e-10,2637.8899539670565,501.9551856304757,39.90381821426863,300.9815905741297
I_dark,train,14456930291123660273,15,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925
