task,split,group_id,n_points,active_layer_length,simulation_temperature
AC_Response,train,1015852638890412653,28,38.57283152042447,302.4090006102026
AC_Response,train,10333268118757093503,28,39.73131063338137,294.42197627514213
AC_Response,train,1062234375139852529,28,39.94029005251662,299.6218359156308
AC_Response,train,10796982964429426044,28,38.21649432972869,303.56534322943094
AC_Response,train,1102911703873588363,28,40.75046782180591,305.2870639056014
AC_Response,train,1115091621525583977,28,40.01001805266426,305.28831051478386
AC_Response,train,11523722328579267051,28,39.66536493364173,302.3426017448898
AC_Response,train,11533468067055250155,28,38.8972081784186,297.8606493603604
AC_Response,train,11939704803637804291,28,40.96326376678826,298.8654192354596
AC_Response,train,12552086576878223737,28,41.11142736058992,291.8506686301862
AC_Response,train,12866849828103811731,28,42.25069338145754,304.38892783295006
AC_Response,train,1295526639106515549,28,40.80112322251315,299.2329513672896
AC_Response,train,13220990961221007809,28,40.31160828282909,292.8565689112594
AC_Response,train,13277443787381278961,28,39.64774721352306,306.8220229508652
AC_Response,train,13540594563185179811,28,40.51326020590248,298.8914974420704
AC_Response,train,13857080191999532053,28,37.60227540602951,298.4772867617408
AC_Response,train,13884065282437346191,28,39.58517778577758,297.0863250737395
AC_Response,train,13894251431710084294,28,36.322106531247385,300.55707391972635
AC_Response,train,14030010393685506498,28,39.18777263938059,307.5354074756815
AC_Response,train,14080291052260215929,28,41.27631172344517,301.59948365785385
AC_Response,train,14264826949359886561,28,42.74916053103488,290.5746947786968
AC_Response,train,1435201764501745638,28,42.56757336192149,293.18283111534566
AC_Response,train,14542734286284699756,28,41.129719458135625,288.0815978442095
AC_Response,train,14598686425886924939,28,42.04226242943757,288.6545802497056
AC_Response,train,14684909485850387430,28,40.94136333558407,299.94201571725745
AC_Response,train,14780227274271489565,28,39.36697999872778,300.425811364213
AC_Response,train,15165174592579684514,28,34.826156523967086,290.8089263982084
AC_Response,train,15208010537286723207,28,39.33447860201831,299.4635962010897
AC_Response,train,15256650157893810940,28,39.90381821426863,300.9815905741297
AC_Response,train,15363827923754144579,28,38.795972505421744,297.7961123434831
AC_Response,train,15468058970195626653,28,39.90795077029272,306.8673078749587
AC_Response,train,15493075907902210391,28,39.325337668236735,299.6111127589073
AC_Response,train,15599116176485750453,28,37.334947088248434,294.43440760000914
AC_Response,train,15766262156413488926,28,40.43386356777175,305.1954997344612
AC_Response,train,15915415103177725736,28,36.589080383233394,294.68809277779184
AC_Response,train,16406327631433526260,28,40.65637295368661,296.23853018587084
AC_Response,train,16541905887176100137,28,38.23677890677304,298.10055132439214
AC_Response,train,16546631726138751512,28,39.85430360518959,306.74502895459364
AC_Response,train,16751146966542148650,28,34.84085283436253,301.39850617403
AC_Response,train,16945873912842908627,28,41.28793476116813,303.0641722996054
AC_Response,train,17136393541049134550,28,39.61181207182135,297.3307652107198
AC_Response,train,17177253068705741675,28,39.56928699408093,298.75903253628616
AC_Response,train,17204210023338359435,28,40.32854625878799,294.3650499716886
AC_Response,train,17268235322529381975,28,36.43861892729903,303.676124223718
AC_Response,train,1769769716334894948,28,36.16652897024234,304.10393187120707
AC_Response,train,1787945062278856569,28,38.25394170360681,296.3367780179062
AC_Response,train,17985928204657212826,28,43.13862383173334,296.64614602139693
AC_Response,train,2038187770712329087,28,43.06550150160359,292.35304316269765
AC_Response,train,2337157221459530110,28,42.346830624956574,300.5747457097431
AC_Response,train,2454564730666304252,28,39.21856251436128,307.7679942040925
AC_Response,train,2554276162761610342,28,41.193035529790656,301.7038514591378
AC_Response,train,260657965530268515,28,41.61731424149927,306.85396396460635
AC_Response,train,2996005905799625730,28,41.9345213676303,296.5403011366731
AC_Response,train,3063462922452919031,28,41.27682283342508,300.8565986758517
AC_Response,train,3083009041752371786,28,40.07870713980076,299.5411124372077
AC_Response,train,3323206834988836325,28,39.85562670167986,300.93280864091923
AC_Response,train,3402320749389468369,28,39.33731057072893,297.69705044733973
AC_Response,train,3482370874704362668,28,40.248277237816566,302.09732544564235
AC_Response,train,3537787434630592613,28,42.54178389838287,305.55199671356803
AC_Response,train,3712240751709899868,28,39.24041391228537,297.93305834844136
AC_Response,train,3765347373034185731,28,43.167246359099664,298.50956140834
