task,split,group_id,n_points,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature
I_photo,train,10539271283961051071,16,1.0728366895058958e-09,2396.471193900285,522.5703607996403,39.66536493364173,302.3426017448898
I_photo,train,10893922623691634355,16,9.808684991835892e-10,2440.440905080504,475.02919518003887,43.13862383173334,296.64614602139693
I_photo,train,10954724855113224492,16,1.1396379394271226e-09,2408.4924726992253,490.0725825278824,43.06550150160359,292.35304316269765
I_photo,train,11032972375804727196,16,9.980121445569454e-10,2387.75545073954,508.7275610680178,38.8972081784186,297.8606493603604
I_photo,train,11342597868662549691,16,1.1395831540373826e-09,2538.761869465952,510.72502895181066,40.87821813200619,300.974125232131
I_photo,train,11533471517763731933,16,1.006938037138553e-09,2476.033687734913,499.8883185243343,35.52248114367448,306.4489109295662
I_photo,train,11587428247216890986,16,1.0109417900146311e-09,2546.474062846718,483.0790058826933,38.96317500489286,311.33012415162744
I_photo,train,11643629726484600332,16,9.595802013951228e-10,2610.2949574222403,489.9218602044182,42.219532217947325,302.0841812978663
I_photo,train,11714911050137312102,16,9.143704143090119e-10,2444.5179463100326,473.4138143725302,40.94136333558407,299.94201571725745
I_photo,train,12112510911978131146,16,9.85546704036472e-10,2573.0239327697072,479.3922741661716,39.9154735600532,295.8292447353602
I_photo,train,12823118457006761398,16,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613
I_photo,train,12849312948239067464,16,1.1459805246638944e-09,2630.825732937456,497.4739907663986,41.26661222078493,300.2753689300697
I_photo,train,12886194249589357920,16,1.0040157435828723e-09,2421.1156291426087,502.3421578152334,38.33334239027114,293.10089722857373
I_photo,train,12981595077382156139,16,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712
I_photo,train,13070609004760276128,16,9.926993823896764e-10,2332.1716999604114,489.929360905385,39.90607827400121,296.137708789732
I_photo,train,13118379098420355299,16,8.891400398891501e-10,2578.309809077789,484.4641187531683,42.13424050837239,300.34884642744885
I_photo,train,13149960228396626776,16,7.777840542828623e-10,2445.911024694583,482.1130919467457,41.27682283342508,300.8565986758517
I_photo,train,13370015301709921327,16,9.344027379399094e-10,2510.734791451186,511.4018674256231,36.36815079533651,301.4558439858307
I_photo,train,13371346273754184600,16,8.220747042076197e-10,2489.354974528123,536.8974000619587,36.589080383233394,294.68809277779184
I_photo,train,13640118791446356878,16,9.682475573035431e-10,2330.6047518253104,479.0686974559265,41.64371883461047,301.63426669668445
