split,row_id,group_id
train,0,3765765162242439701
train,1,12816177013697617925
train,2,10539271283961051071
train,3,3371631208540637995
train,5,579736006479800074
train,8,14547390297170085011
train,11,4253972365711734043
train,15,380264510751012186
train,16,833253205382390921
train,17,579736006479800074
train,19,3494250555080783753
train,21,13753303497944442308
train,24,11854955608364436255
train,30,3933886296999063760
train,31,222992878073105781
train,32,4556256472297801959
train,33,16164245777420927440
train,34,13370015301709921327
train,36,5144607327742428380
train,37,7155552337602576564
train,38,8793357247245534573
train,42,13161242281976296834
train,45,3933886296999063760
train,47,3494250555080783753
train,49,579736006479800074
train,50,16164245777420927440
train,51,5144607327742428380
train,52,1378160361063041439
train,54,17234994038809733169
train,56,2033506848451370756
train,62,12112510911978131146
train,65,6563696386679920944
train,66,6563696386679920944
train,69,10395993465976512970
train,70,13806398585976261423
train,73,16164245777420927440
train,74,4253972365711734043
train,75,11892504857466714026
train,76,7286060296444835846
train,77,10743645008157788724
train,78,9184494546452176042
train,80,12849312948239067464
train,82,7286060296444835846
train,85,8562678507013604755
train,86,10539271283961051071
train,89,11533471517763731933
train,90,13806398585976261423
train,91,3765765162242439701
train,93,18026431441542812131
train,96,2216844718377656366
train,98,9184494546452176042
train,101,2216844718377656366
train,102,11892504857466714026
train,103,18026431441542812131
train,104,12882774050561771087
train,105,6563696386679920944
train,106,2860266914913243763
train,107,7296031158140813817
train,108,579736006479800074
train,110,779010489516208886
train,111,15180030701036252205
train,113,5144607327742428380
train,118,18393380424088899902
train,120,10829525609740651031
train,121,12886194249589357920
train,123,12849312948239067464
train,124,18026431441542812131
train,125,18237334030368139870
train,128,380264510751012186
train,136,2447368541047246097
train,137,2860266914913243763
train,140,2033506848451370756
train,142,8562678507013604755
train,143,14547390297170085011
train,145,8813459275462154891
train,147,9216328605101287225
train,148,18237334030368139870
train,149,13149960228396626776
train,151,8372103036707258832
train,156,17492872546512810480
train,157,3193110456536102066
train,158,3371631208540637995
train,162,2447368541047246097
train,164,7286060296444835846
train,169,13149960228396626776
train,170,1633077101789385956
train,171,4261926717090881150
train,174,7681735671422946543
train,179,16164245777420927440
train,180,9184494546452176042
train,182,9415233787243991652
train,184,2216844718377656366
train,187,4253972365711734043
train,188,12112510911978131146
train,194,13052852389533457310
train,195,7286060296444835846
train,197,13344013943894260190
train,198,15180030701036252205
train,201,7155552337602576564
train,202,18393380424088899902
train,204,10829525609740651031
train,206,10990274489596691850
train,209,11854955608364436255
train,210,10990274489596691850
train,213,16069905982438259650
train,214,4155552024635161694
train,215,17951410366048416543
train,219,11533471517763731933
train,222,3933886296999063760
train,226,4253972365711734043
train,234,2314355766595058403
train,237,8793357247245534573
train,238,14547390297170085011
train,239,3193110456536102066
train,240,10743645008157788724
train,241,16164245777420927440
train,243,3212080770719938515
train,244,10829525609740651031
train,245,17951410366048416543
train,247,9728360064296503812
train,253,9184494546452176042
train,254,5144607327742428380
train,255,13806398585976261423
train,259,10539271283961051071
train,261,7296031158140813817
train,262,3765765162242439701
train,263,9216328605101287225
train,267,5302328922938549098
train,268,14547390297170085011
train,269,10539271283961051071
train,271,15363031408316951214
train,272,17234994038809733169
train,277,7136007211031035799
train,279,1378160361063041439
train,280,3141391476646313355
train,281,7286060296444835846
train,282,10990274489596691850
train,283,13753303497944442308
train,286,10743645008157788724
train,287,7296031158140813817
train,288,2314355766595058403
train,291,8372103036707258832
train,293,7681735671422946543
train,294,15180030701036252205
train,295,15425818973916266975
train,298,3212080770719938515
train,299,18237334030368139870
train,300,833253205382390921
train,301,2216844718377656366
